Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[195.72098080260184],[0.0019403578005284272],0.0006046730000002221
Total Media,195.72098080260184,0.0019403578005284272,0.0006046730000002221
Carpeta 1,[1584.810828806947],[0.013391832064997328],0.0009071330000001154
Total Media,890.2659048047744,0.007666094932762877,0.0007559030000001687
