Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[757.5731379960971],[0.007715470842703928],0.0005550209999998224
Carpeta 1,[477.0944494264283],[0.0047857715165821775],0.0003556659999999212
Carpeta 2,[1487.8470699268244],[0.012526559834091329],0.0005157699999998044
Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[792.2287868699175],[0.0077311857018618375],0.0006291380000003066
Carpeta 1,[576.5015585521378],[0.005201731109516192],0.0004470649999999132
Carpeta 2,[1466.3107517824408],[0.012311871687087183],0.0005002790000001589
Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[1583.4104554503112],[0.015636428356946064],0.0005697399999999853
Carpeta 1,[1161.5855403517005],[0.009894674297431683],0.00045471300000032855
Carpeta 2,[902.674307346665],[0.007626282611875103],0.0004201159999999149
Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[872.8802428753169],[0.008696017049393996],0.0005571279999996293
Carpeta 1,[688.6662660628665],[0.00619983664339337],0.0004115789999996622
Carpeta 2,[1476.1068116662657],[0.0123958161745696],0.0004896500000000081
Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[591.4010594576914],[0.00573391069367961],0.0005658379999999852
Carpeta 1,[1275.9918355507516],[0.010814087529537799],0.0005044489999992408
Carpeta 2,[1208.6097274854826],[0.010187486148529082],0.00043152100000032334
Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[213.87354316829487],[0.0021278378620608208],0.0005193529999996116
Carpeta 1,[3483.4936836828156],[0.030463461599315105],0.0004680309999995913
Carpeta 2,[1502.9684354582268],[0.01262804903330109],0.0004967389999999128
Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[996.6866182210359],[0.009662574362345322],0.0005163340000002847
Carpeta 1,[1265.9543179446107],[0.011463618153547352],0.0003773069999999379
Carpeta 2,[1419.5914128921638],[0.011918507391603848],0.0004955820000001054
Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[485.65566184340634],[0.004793602765931608],0.0005123099999995162
Carpeta 1,[1655.084066375523],[0.014065876382740924],0.0005149239999999722
Carpeta 2,[1355.0303207455518],[0.011407768396436624],0.0004838919999992086
Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[867.5126329812001],[0.00867691811340241],0.0005137930000005397
Carpeta 1,[724.7214139061442],[0.006533452440047375],0.00039795700000055945
Carpeta 2,[1464.0913011715224],[0.012292064198659268],0.00048299000000007197
Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[1483.000805553384],[0.014709273186359891],0.0006144359999993299
Carpeta 1,[1647.345189983925],[0.013972353593705604],0.0004726939999999402
Carpeta 2,[1489.6856741487222],[0.012519726869333428],0.0004686380000000767
Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[694.1098427158872],[0.006739023696304202],0.0005832779999996873
Carpeta 1,[1030.025473869048],[0.0087794017819194],0.00047394100000008876
Carpeta 2,[1007.3779782950749],[0.008503730314612188],0.000476147999999732
Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[1041.7792821400428],[0.010583606577637697],0.0005309179999999358
Carpeta 1,[1683.7990893619658],[0.015045142720640194],0.0004357739999996113
Carpeta 2,[1507.116847903575],[0.012653571677707868],0.0004866939999992326
Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[447.41929553041456],[0.004420253803661821],0.0005032350000000463
Carpeta 1,[1206.2556337889403],[0.010224491442159488],0.0004759800000000425
Carpeta 2,[1171.910808058788],[0.009880696955729969],0.000461864000000034
Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[2089.9959640766792],[0.020256492575344884],0.0006199110000002506
Carpeta 1,[1005.8010874754248],[0.008589167617847844],0.0004803329999996109
Carpeta 2,[1003.71928369006],[0.008473098883651007],0.00043299799999996225
Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[1240.6358593218158],[0.01219613449170223],0.0005426879999994583
Carpeta 1,[821.5676191280256],[0.007388045988926321],0.00045624399999955045
Carpeta 2,[1481.0137742938045],[0.012436689301820176],0.0005103230000003123
Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[89.708241901949],[0.0008815495165380879],0.0005179029999995421
Carpeta 1,[2187.992167597135],[0.021413748179363656],0.0004059139999998962
Carpeta 2,[1467.537053818854],[0.012343509381086642],0.0005610679999996648
Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[923.7910448498811],[0.008947341932745616],0.0005839139999999077
Carpeta 1,[376.5937852303983],[0.003782705914626762],0.0003741809999997514
Carpeta 2,[1496.713029312804],[0.01260371034554024],0.0005165270000002664
Carpeta,Mae,Wape,Tiempo_Media
Carpeta 0,[82.94766936173983],[0.0008162252762573592],0.0004957189999998945
Carpeta 1,[2057.9801163742745],[0.018325496042462603],0.0004706759999999477
Carpeta 2,[1521.500768968363],[0.012774851727435936],0.0005166560000002818
Carpeta,Mae,Wape,Tiempo_Media
